Exam Date,Shift,course_code,room_no,num_students_allocated,vacant_seats,buffered_capacity,Roll_no
30/04/2016,Morning,CB204,101,28.0,0.0,1.5,"1401CB54, 1401CB22, 1401CB21, 1401CB19, 1401CB38, 1401CB32, 1401CB50, 1401CB28, 1401CB25, 1401CB60, 1401CB10, 1401CB15, 1401CB03, 1401CB37, 1401CB34, 1401CB53, 1401CB49, 1401CB45, 1401CB47, 1401CB51, 1401CB09, 1401CB55, 1401CB08, 1401CB43, 1401CB58, 1401CB29, 1401CB24, 1401CB26"
30/04/2016,Morning,CB204,103,28.0,0.0,1.5,"1401CB66, 1401CB16, 1401CB41, 1401CB64, 1401CB48, 1401CB23, 1401CB18, 1401CB42, 1401CB13, 1401CB02, 1401CB30, 1401CB01, 1401CB31, 1401CB57, 1401CB56, 1401CB07, 1401CB65, 1401CB36, 1401CB11, 1401CB33, 1401CB61, 1401CB39, 1401CB62, 1401CB63, 1401CB35, 1401CB40, 1401CB05, 1401CB44"
30/04/2016,Morning,CB308,105,28.0,0.0,1.5,"1301CB46, 1301CB26, 1301CB33, 1301CB57, 1301CB18, 1301CB30, 1301CB02, 1301CB53, 1301CB24, 1301CB45, 1301CB44, 1301CB04, 1301CB36, 1301CB15, 1301CB37, 1301CB48, 1301CB58, 1301CB20, 1301CB38, 1301CB60, 1301CB13, 1301CB27, 1301CB19, 1301CB54, 1301CB08, 1301CB17, 1301CB06, 1301CB23"
30/04/2016,Morning,CB308,106,26.0,2.0,1.5,"1301CB62, 1301CB35, 1301CB11, 1301CB43, 1301CB07, 1301CB10, 1301CB56, 1301CB05, 1301CB50, 1301CB03, 1301CB22, 1301CB49, 1301CB47, 1301CB52, 1301CB55, 1301CB42, 1301CB41, 1301CB34, 1301CB01, 1301CB31, 1301CB21, 1301CB64, 1301CB61, 1301CB39, 1301CB29, 1301CB28"
30/04/2016,Morning,CE216,106,2.0,0.0,1.5,"1401CE53, 1401CE24"
30/04/2016,Morning,CE216,108,28.0,0.0,1.5,"1401CE17, 1401CE49, 1401CE62, 1401CE18, 1401CE28, 1401CE11, 1401CE13, 1401CE44, 1401CE14, 1401CE10, 1401CE35, 1401CE46, 1401CE42, 1401CE58, 1401CE60, 1401CE39, 1401CE22, 1401CE12, 1401CE04, 1401CE26, 1401CE20, 1401CE32, 1401CE45, 1401CE54, 1401CE33, 1401CE37, 1401CE50, 1401CE47"
30/04/2016,Morning,CE216,110,24.0,4.0,1.5,"1401CE51, 1401CE15, 1401CE27, 1401CE05, 1401CE38, 1401CE55, 1401CE34, 1401CE56, 1401CE43, 1401CE52, 1401CE63, 1401CE36, 1401CE29, 1401CE21, 1401CE25, 1401CE57, 1401CE07, 1401CE41, 1401CE03, 1401CE40, 1401CE61, 1401CE31, 1401CE48, 1401CE06"
30/04/2016,Morning,CS249,110,4.0,0.0,1.5,"1401AI24, 1401AI26, 1401AI02, 1401AI05"
30/04/2016,Morning,CS249,102,36.0,32.0,3.6,"1401AI34, 1401AI40, 1401AI41, 1401AI37, 1401AI42, 1401AI39, 1401AI21, 1401AI19, 1401AI28, 1401AI25, 1401AI23, 1401AI29, 1401AI17, 1401AI32, 1401AI15, 1401AI20, 1401AI33, 1401AI04, 1401AI12, 1401AI22, 1401AI08, 1401AI27, 1401AI10, 1401AI16, 1401AI18, 1401AI38, 1401AI43, 1401AI13, 1401AI07, 1401AI36, 1401AI06, 1401AI30, 1401AI14, 1401AI11, 1401AI31, 1401AI35"
30/04/2016,Morning,MM202,102,32.0,0.0,3.6,"1401MM23, 1401MM22, 1401MM38, 1401MM09, 1401MM24, 1401MM39, 1401MM15, 1401MM12, 1401MM06, 1401MM40, 1401MM10, 1401MM14, 1401MM35, 1401MM30, 1401MM42, 1401MM45, 1401MM17, 1401MM20, 1401MM34, 1401MM16, 1401MM44, 1401MM31, 1401MM04, 1401MM02, 1401MM37, 1401MM25, 1401MM11, 1401MM43, 1401MM07, 1401MM03, 1401MM01, 1401MM27"
30/04/2016,Morning,MM304,104,29.0,39.0,3.6,"1301MM34, 1301MM18, 1301MM13, 1301MM10, 1301MM32, 1301MM33, 1301MM29, 1301MM01, 1301MM26, 1301MM16, 1301MM04, 1301MM11, 1301MM09, 1301MM22, 1301MM03, 1301MM15, 1301MM23, 1301MM35, 1301MM24, 1301MM08, 1301MM05, 1301MM20, 1301MM27, 1301MM14, 1301MM25, 1301MM21, 1301MM28, 1301MM30, 1301MM07"
